censustract2010,child_gradrate,child_edurate,child_langscore,child_mathscore,child_birthrate,child_nohealthinsurance,child_povrate,family_povrate,family_housingburden,family_moms_noedurate,family_collegerate,community_noedurate,Community_nohealthinsurance,community_unemploymentrate
13035150100,79.4,70.9,40.8,14.8,-9,-11.7,-16.6,-20.1,-30.1,-16.3,68,-20.3,19.1,13.4
13035150200,79.4,70.9,38.2,14.8,-12.3,-5.1,-29.3,-43.4,-39.6,-24.4,68,-27,32.7,13.8
13035150300,79.4,70.9,35.6,14.8,-8.2,-4.9,-22.1,-25.8,-30,-17.7,68,-28.9,16.1,11.9
13057090100,83.6,76,50.7,52.1,-8.9,-3.6,-9.6,-26.1,-33.3,-8.9,79.2,-17.1,14.6,5.8
13057090200,71.7,69.3,53.4,34,-7.4,-15,-4.6,-19.1,-31.9,-13.8,73.9,-12.5,18.2,11.8
13057090300,71.7,69.3,57.8,40.9,-9,-8.7,-5.4,-15.9,-31.1,-5.3,73.9,-7.9,13.6,6.7
13057090400,72.1,69.5,24.2,36,-7.6,-11.8,-23.4,-50,-45.8,-18.4,74,-36.5,38.9,8.1
13057090501,89.2,79.2,67.5,54.9,-7.8,-2.8,-14.2,-18.8,-28.8,-6.6,82.2,-17.5,17.1,7.5
13057090502,89.2,79.2,69,54.9,-5.8,-0.9,-17.2,-11.9,-37.4,-3.6,82.2,-6,14.3,8.4
13057090601,76.9,74.1,43.7,36.6,-8.5,-22.1,-28.4,-37.3,-38.4,-19.2,76.5,-26.1,27.1,14.5
13057090602,85.7,78.6,56.9,45.8,-6.9,-4.5,-26,-29.7,-35.8,-16.3,80.3,-20.8,24.4,11.8
13057090701,78.8,78,67.7,60,-7.8,-6.1,-5,-18.4,-30.1,-3.8,79.5,-8.1,13.4,6.4
13057090702,87.3,83.8,52.2,38.8,-6.2,-5.5,-25.4,-26.6,-35.1,-9.1,80.9,-11.1,24.9,8.3
13057090802,88.3,81.4,75.5,46.6,-6.9,-16.4,-9.9,-14.6,-30,-5.1,81.4,-6,9.9,6
13057090803,87.5,83.5,68.7,40.4,-4.8,-2.5,-9.4,-13,-29.8,-1.4,80.9,-5.6,10.5,6.5
13057090804,89.6,81.2,61.1,44.3,-5.7,-2.8,-7.6,-8.2,-19,-3.7,80.9,-7,10.5,7
13057090901,90,80.8,58,45.2,-8.4,-9.3,-14,-13.9,-25,-5.3,80.9,-7.7,13.2,8
13057090902,90.6,80.1,58.9,47.3,-5.3,-5.6,-3.1,-16.2,-33.4,-1.8,85.7664,-6.4,13,7.4
13057090904,87.6,80.6,61.5,48.4,-8.9,-2.5,-28.5,-28.4,-38.2,-5.7,81.4,-9.4,16.4,10.6
13057090905,89.7,80.2,62.5,47.7,-11.4,-6.3643,-12.2,-16.6,-37.9,-6.1,81.4,-8,13.1,7.1
13057091001,81,81.6,61.8,50.3,-7.9,-31.9,-16.1,-38.7,-37.6,-8.2,81.4,-11.1,31.3,7.7
13057091003,81.4,81.2,50.6,50.6,-8.9,-16.5,-16.2,-31,-40.2,-14.5,82.3,-12.2,34.4,14.6
13057091005,81.4,81.3,53,50.5,-7.2,-12.4,-21.7,-24.2,-31.6,-5.9,82.1,-13.2,27.6,6.4
13057091006,82.8,79.9,79.9,51.7,-5.6,-13.9,-4.4,-12.6,-26.1,-6.605,86.5,-3.3,11.1,7
13057091007,82.8,79.9,82.4,51.7,-5.9,-2.8906,-3.3,-13.1,-28.9,-2.2878,86.5,-2,7.5,6.8
13057091008,81.8,80.9,64.1,50.8,-8.2,-9.3,-0.7,-2.7,-26.9,-3.6,83.1,-0.2,12,5.3
13057091101,82.8,79.9,48.9,51.7,-7.6,-2.6,-8.9,-19.2,-33.3,-3.9,86.5,-10.8,22.3,4.7
13057091102,82.8,79.9,45.5,51.7,-5.9,-14.3,-22.8,-24.9,-29.3,-14,86.5,-17.2,32,12.4
13057091103,82.8,79.9,48.4,51.7,-7.4,-3.7,-6,-17.5,-23.3,-6.1,86.5,-11.5,18.3,6.5
13063040202,48.9,51.1,26.2,12.5,-14.1,-2.8,-49.7,-54.6,-54.7,-22.3,67.3,-20.9,36.6,18.7
13063040203,48.5,51.1,27.8,12.5,-11.6,-8,-37.6,-43.2,-49.2,-15,67.5,-16,32.6,21
13063040204,48.5,51.1,27.9,12.5,-12.4,-43.8,-37.7,-51.5,-44.9,-12.6,67.5,-11,32.1,16.3
13063040302,47.9,55.5,31.5,10,-11.2,-15.6,-41,-55,-47.8,-46.6,56.7,-22.2,47.5,19.7
13063040303,47.9,55.5,21.9,10,-9.2,-15.7,-54.2,-61.8,-43.5,-39.6,56.7,-34.5,47.9,33.9
13063040306,47.9,55.5,30.3,20.5,-7.4,-23.6,-64.4,-85.1,-61,-53.3,56.7,-44.6,65.9,17.4
13063040307,47.9,55.5,26.7,23.1,-11.1,-26.9,-33.1,-53.2,-53.8,-32.8,56.7,-35.1,35.2,16.1
13063040308,47.9,55.5,33.8,23,-8.6,-25.1,-57.8,-50.1,-46.7,-52.1,56.7,-33.8,51.2,11.4
13063040407,55.2,61,33.7,26.9,-7.6,-13.6,-16.3,-37.9,-37.7,-28.5,63.1,-26.7,29.9,7.4
13063040408,58.1,63.2,35.7,28.5,-11.8,-6.1,-28.4,-49.5,-36.9,-19.8,65.9,-19.9,27.1,21.3
13063040409,60.6,65.1,34.2,27.1,-13,-15,-26.1,-37.6,-39.5,-19.3,68.5,-14.3,31.8,12.2
13063040410,53.3,59.6,30.8,12.7,-8.1,-15.3,-34.1,-58.1,-59.5,-31.5,61.4,-21.1,26.9,18.4
13063040411,60.6,65.1,38.7,17.1,-10.2,-3.8,-16.2,-32,-34.4,-12.9,68.5,-8.1,20.9,10.2
13063040412,63.1,63.1,43.1,25.2,-10.6,-25.2,-13.5,-48.7,-39.8,-15.4,67.1,-22.8,39.3,24.3
13063040413,60.6,65.1,36.7,25.6,-10,-9.2,-51.1,-54.6,-45.8,-26.7,68.5,-15.5,24,21.4
13063040414,53.9,57.1,25.6,20.9,-6.9,-36.8,-6.1,-38.3,-41,-42.9,58.9,-21.9,35.8,27.3
13063040415,63,52.6,22.5,17.1,-10.6,-25.9,-39.2,-58.1,-54.2,-32.8,55.2,-29.4,56.5,15.3
13063040416,57.9,58.1,28.2,19.1,-9,-11.1,-26.9,-45.6,-51.8,-35.6,60.5,-28.7,42.1,14.6
13063040417,66.6,60.4,36.6,12.3,-10.6,-8.9,-64.1,-69.9,-59.4,-23.8,64.9,-23.2,41.1,20.4
13063040509,48.5,51.1,26.3,12.5,-10.5,-1.8,-17.9,-20.1,-26.7,-15.4,67.5,-8.6,22,21.5
13063040510,53.3,51.6,23.6,15.8,-13.9,-15.2,-19.7,-40.3,-47.7,-20.3,64.2,-20.2,33.6,14.5
13063040512,63.6,53.4,20.6,26.6,-11.8,-8.9,-34.2,-38.8,-46.6,-13.5,55.9,-14.6,22.7,16.9
13063040513,65.1,55.4,22.6,25.8,-10.1,-13.5,-7.5,-23.6,-34.1,-14.6,57.9,-7.9,23.9,16.7
13063040514,66.7,57.6,21.3,18.7,-12.7,-20.5,-37.8,-47.4,-56.1,-29.3,60.3,-17.9,44,16.6
13063040515,68.4,58.6,29.3,17.7,-10.1,-9.8,-26.3,-37.1,-42.3,-12.3,61.3,-13.9,30.9,22.4
13063040516,68.4,59.5,31.8,18.2,-12.2,-12,-49.6,-51,-59.4,-21.2,64.4,-22.8,30.2,16.3
13063040518,72.3,61.1,34.8,16,-15.9,-20.6,-62.4,-55.5,-49.7,-16.4,63.4,-17.8,46.9,24.8
13063040519,63,52.6,25.2,17.1,-9.2,-6.7,-55,-59.5,-59.2,-17.4,55.2,-16.1,34.4,14.7
13063040520,51.4,51.4,25.3,13.1,-12,-33.6,-39.9,-50.6,-54,-13.2,65.6,-14.9,31,17
13063040521,63,52.6,20.8,18.7,-15.5,-5.9,-47.4,-39.7,-34.7,-30.1,55.2,-20.2,29.2,21.5
13063040522,63,52.6,22.4,21.7,-11.4,-1.4,-30,-61.7,-53.7,-24.4,55.2,-18.3,35.2,26.6
13063040523,66.4,57.1,18.1,26.6,-14.4,-11.5,-27.5,-48.3,-40.4,-16,59.8,-27.5,40.8,9.8
13063040524,65.4,55.9,27,20.5,-9,-27.1,-34.7,-37.7,-36.9,-17,58.4,-16.5,29.2,13.8
13063040525,72.3,61.1,18.8,16,-8.6,-16.1,-23.7,-51.2,-52.4,-11.8,63.4,-17.2,22.9,16.7
13063040526,71.9,60.9,18.8,16,-11.9,-10.6,-52.2,-54.4,-44.7,-15,63.2,-10.1,37.2,15.2
13063040606,66.9,64.4,25.3,12.5,-10,-6.7,-32.8,-46.6,-52.6,-23.8,75.4,-21.8,27.2,13.8
13063040608,66.9,64.4,39.4,12.3,-12.6,-13.6,-15.9,-20.3,-38.1,-7.7,75.4,-7.1,17.5,15.2
13063040609,66.1,60.3,38.8,20.6,-11.4,-11,-1.9,-16.3,-31.2,-16.9,68.4,-8.5,20,13
13063040611,64.4,57.3,34.3,14.3,-9.1,-22.3,-52.6,-62.4,-42.7,-34.5,65.8,-31.6,46.6,21.7
13063040612,66.5,60.4,41.2,12.8,-10.8,-20.2,-55.9,-50.5,-49.7,-22,71.6,-21.4,31.4,15
13063040613,65.2,60.2,39,22.7,-9.9,-6.9,-30.7,-30.3,-49.2,-12,73.7,-11.3,19.1,17.6
13063040614,65.2,60.2,42.8,25.3,-11,-15.1,-20.7,-19.6,-30.5,-10.5,73.7,-12.5,13.8,6.9
13063040615,66.6,60.4,47.3,25.3,-11.3188,-3.8,-37.252,-49.7,-46.8,-14.6,64.9,-10,21.2,11.5
13063040616,66.4,60.6,30.9,25.6,-12.1,-17.1,-34.5,-35.4,-43.8,-13.4,65.1,-11.8,31.2,12.8
13063040617,66.6,60.4,30.7,25.6,-6.1,-28.3,-29.3,-68.5,-33.5,-65.6,64.9,-62.3,44.4,8.4
13063040619,72.3,61.1,35,16,-11.4,-5.7,-43.3,-44.9,-52,-19.9,63.4,-22.1,20.1,12.4
13063040620,72.3,61.1,31.3,13.7,-13.2,-20.1,-40.1,-27.1,-40.3,-9.1,63.4,-7.3,17.2,24.6
13063040621,66.9,64.4,27.1,12.3,-12.9,-11,-26.4,-26.6,-34.9,-13.9,75.4,-15.6,22.8,10.9
13063040622,68.1,63.6,27.8,13.3,-9.3,-11.6,-34,-43.7,-45.7,-30.5,72.8,-14.4,40.3,12.9
13067030101,86.7,84.4,70.7,51.2,-7.1,-10,-19,-22.1,-33.8,-6.8,85,-17.7,19.5,6.6
13067030103,84.5,79.5,63.9,37.9,-6.6,-3.1,-5.8,-21.6,-31.4,-5.6,82.3,-8.8,16.4,8
13067030104,82.9,76,46.0861,29.2,-8.5,-8.4,-6.6,-39.6,-35,-12.2,80.1,-9.8,20.9,13.3
13067030106,82.9,76,44.9895,29.2,-10.1,-7.3,-13.9,-37.4,-45,-8,80.1,-15.2,30,14.6
13067030107,82.9,76,64,34.8,-9.8,-1.9,-1.3,-9.6,-30.2,-3.7,80.1,-8.6,13.9,7.7
13067030209,86.2,87.6,66.9,54.3,-5.1,-1.6,-0.4,-6.1,-18.5,-2.5,87,-3,9.7,7
13067030214,86.1,84.3,63.1,56.1,-7.7,-3.4,-6.9,-16,-27.1,-5.3,85.3,-6.4,16,10.5
13067030215,81.1,79.8,57.7,43.5,-7.5,-19.8,-21.3,-17.6,-26.9,-12.8,84.6,-5.6,21.6,11
13067030218,86.9,83.6,66.8,54.8,-9.1,-2.8,-0.6,-13.7,-22.5,-3.0812,87.3,-4.3,13.8,4.3
13067030219,88.8,86.1,70.5,53.8,-8.2,-3,-5.6,-11.6,-28,-2.9,86.6,-2.4,5,7.1
13067030220,78.5,74.6,70.9,44.6,-10.9,-9.9293,-20.2145,-29.1,-33.6,-6.5,82.9,-6.8,18.2,17.8
13067030222,78.5,74.6,66.7,44.6,-5.7,-11.4,-14.7,-20.5,-32,-3.6,82.9,-6.9,13.1,7.3
13067030223,81.8,75.6,63.1,44.6,-8.1,-8.1,-14.605,-17,-30.7,-4.2,80.9,-6.2,12.4,8.1
13067030224,82.9,76,56.5,42.1,-6.5,-6.4,-2.7,-18.2,-31,-1.7,80.1,-4.1,10.3,7.6
13067030226,82.9,76,60.8,35.4,-7.4,-2.8,-5.6,-19.2,-31,-2,80.1,-4,10.4,7
13067030227,82.9,76,56.6,43,-5.7,-16,-11.3,-20.1,-35.9,-9.4,80.1,-8.8,31.6,13.8
13067030228,79,75,69.1,40.2,-6,-24.7,-24.3,-30.1,-47,-8.4,82.7,-8.1,27.9,10.2
13067030229,82.9,76,56.5,44.5,-6.7,-34.5,-22.1,-14.1,-38,-13.8,80.1,-7.3,21.1,16.9
13067030230,80,78.6,48.4,28.3,-9.5,-12.8,-19.8,-19.7,-35,-9.9,83.7,-6.4,24.4,10.4
13067030231,87.4,84.3,64.1,42.4,-7.3,-1.7,-2.2,-9.7,-19.4,-3.2,87.6,-2.7,4.1,6.5
13067030232,86.2,87.6,45.8,54.3,-7.9,-3.5,-13.1,-11,-27.6,-3.2,87,-6.9,11.9,10.1
13067030233,86.2,87.6,53.2,54.3,-5.9,-1,-2.9,-6.6,-22.2,-5.0759,87,-2.6,8.9,7.6
13067030234,85.8,86.3,69.4,56.5,-7.8,-2.1,-2.8,-7,-28.6,-4.1,85.6,-0.7,8.2,5
13067030235,86.2,87.5,70.8,54.1,-4.6,-3.0585,-8.7,-13.7,-20.1,-3.3,86.8,-5.5,6.8,6.9
13067030236,96.2,89.7,77.9,53.5,-7.4,-2.9,-2.6,-3,-28.5,-4.7,91.3,-0.7,3.5,4.3
13067030238,96.2,89.7,69.8,58.9,-6.9,-1,-11.8,-12.8,-26.5,-6.2,91.3,-6.2,5.9,6
13067030239,96.2,89.7,76.6,58.4,-7.8,-0.8,-7.1,-7.7,-27.9,-5.1,91.3,-5.6,9.3,6.2
13067030310,78.7,74.8,68.5,36.6,-7.3,-11.1,-10.3,-21.2,-34.9,-9.7,82.8,-7.8,20.1,7.6
13067030311,79.4,75.7,75.7,37,-8.7,-1,-6.6,-8.9,-18.3,-4.5,83.1,-4.3,13.3,7.3
