censustract2010,CWB Index,Child Index,Family Index,Community Index
13035150100,0.586433636,0.517518075,0.709749903,0.526703267
13035150200,0.437275222,0.46937288,0.499682098,0.406125273
13035150300,0.570572012,0.541401533,0.679475001,0.495678816
13057090100,0.724550176,0.711946555,0.712450643,0.725460337
13057090200,0.653591602,0.584145263,0.717114133,0.642769974
13057090300,0.73432673,0.614131358,0.790783747,0.752366877
13057090400,0.436721416,0.505917084,0.469495759,0.405882186
13057090501,0.780202671,0.7952001,0.78758327,0.711913953
13057090502,0.816973534,0.83119935,0.772262508,0.799169106
13057090601,0.507677206,0.506443043,0.565674598,0.489146871
13057090602,0.645940277,0.71914787,0.632325317,0.594026112
13057090701,0.803929124,0.76799098,0.798186934,0.79183611
13057090702,0.714519095,0.727363861,0.69637755,0.70184945
13057090802,0.819268004,0.753011852,0.804921465,0.841152722
13057090803,0.856960764,0.832830765,0.836723635,0.832493477
13057090804,0.879284892,0.813430683,0.917109476,0.817191717
13057090901,0.806010432,0.722969547,0.841980443,0.78813177
13057090902,0.835485694,0.81629913,0.796158632,0.836709565
13057090904,0.722534355,0.723766203,0.689646293,0.735887096
13057090905,0.758722843,0.707738985,0.734321422,0.799193834
13057091001,0.639401815,0.603470974,0.638127549,0.679308842
13057091003,0.607932014,0.643199666,0.607740481,0.58942884
13057091005,0.722500446,0.682426168,0.751520016,0.701004678
13057091006,0.856101795,0.79096825,0.830549483,0.877528066
13057091007,0.888991056,0.848683361,0.836946264,0.907029513
13057091008,0.868962751,0.749718698,0.882419922,0.890791848
13057091101,0.784985041,0.746013447,0.771627745,0.791545684
13057091102,0.673646568,0.677079872,0.712167574,0.616170251
13057091103,0.811642993,0.748594915,0.835095574,0.787717101
13063040202,0.273903994,0.19460219,0.362799845,0.374433736
13063040203,0.354491049,0.233116153,0.49353295,0.406918978
13063040204,0.338930624,0.07727517,0.508196321,0.494625592
13063040302,0.18059608,0.211345622,0.251247968,0.23034049
13063040303,0.114834289,0.193771607,0.301802264,0.001719949
13063040306,0,0.199943411,0.015771541,0.016848057
13063040307,0.199912116,0.192549299,0.305759155,0.237091601
13063040308,0.17198053,0.200969338,0.251783999,0.215420756
13063040407,0.440827653,0.41662188,0.507418224,0.45725405
13063040408,0.417578366,0.392650694,0.52576307,0.392842344
13063040409,0.460463781,0.345585011,0.556019068,0.521958495
13063040410,0.272429834,0.313694877,0.254841106,0.386083613
13063040411,0.581737076,0.450738676,0.655802745,0.642168013
13063040412,0.37754503,0.371453444,0.536963496,0.287218603
13063040413,0.376984444,0.368459251,0.397490209,0.456033591
13063040414,0.261930686,0.283098546,0.387946176,0.225975607
13063040415,0.173512413,0.212602645,0.284152861,0.169719546
13063040416,0.284676976,0.355688933,0.330766132,0.289128629
13063040417,0.242568582,0.306603883,0.260869315,0.301753286
13063040509,0.525015331,0.318744098,0.739918972,0.508040571
13063040510,0.347986719,0.218467057,0.480598841,0.418194318
13063040512,0.410336734,0.31254756,0.538761781,0.433488639
13063040513,0.515888759,0.386513509,0.678946091,0.490839011
13063040514,0.265024182,0.245409772,0.334477121,0.334927789
13063040515,0.433667926,0.385458358,0.583827067,0.375167594
13063040516,0.314532501,0.30401031,0.35023637,0.39901441
13063040518,0.263891515,0.200500898,0.433718659,0.255488235
13063040519,0.305120271,0.301443313,0.344043973,0.382471163
13063040520,0.304484414,0.102559228,0.442749739,0.452309781
13063040521,0.323152101,0.222187598,0.51145756,0.307818785
13063040522,0.26446688,0.352107113,0.329003756,0.23790711
13063040523,0.370870797,0.294598205,0.530278534,0.349995479
13063040524,0.42117241,0.278170891,0.589271214,0.436126615
13063040525,0.41165363,0.380940308,0.461051209,0.465127502
13063040526,0.390175848,0.297150958,0.482795574,0.458809387
13063040606,0.406427031,0.387037752,0.398572223,0.519662722
13063040608,0.585188807,0.377093297,0.708247614,0.659293023
13063040609,0.590638888,0.435323223,0.712506722,0.613802196
13063040611,0.22791803,0.265936422,0.338644895,0.206074105
13063040612,0.355772584,0.274452209,0.416146984,0.463941673
13063040613,0.510678856,0.419175406,0.562561407,0.584766821
13063040614,0.628005526,0.396248644,0.746824231,0.714897981
13063040615,0.48370872,0.427883812,0.488412746,0.589751729
13063040616,0.457291324,0.323652338,0.572415186,0.51432734
13063040617,0.259392863,0.367703689,0.275596767,0.272890613
13063040619,0.4094674,0.382332616,0.434923266,0.489038898
13063040620,0.466552719,0.277919769,0.657345366,0.482058816
13063040621,0.539113331,0.338946619,0.666343469,0.616692617
13063040622,0.403323436,0.378384594,0.415008239,0.499478477
13067030101,0.755410634,0.769731941,0.737952971,0.726247997
13067030103,0.783364849,0.768768146,0.764863531,0.773360586
13067030104,0.64428593,0.637734292,0.627024789,0.673598226
13067030106,0.581992136,0.601855018,0.591590279,0.57550679
13067030107,0.792986676,0.710138491,0.831803829,0.776045559
13067030209,0.93984142,0.8907091,0.936580167,0.889990393
13067030214,0.825820293,0.812202042,0.818954009,0.786100162
13067030215,0.728861184,0.628720235,0.765099931,0.753915041
13067030218,0.886928858,0.812102893,0.875134558,0.890348353
13067030219,0.890700433,0.835955173,0.845098095,0.914210508
13067030220,0.680775883,0.628356985,0.714559833,0.679912131
13067030222,0.780883861,0.701721925,0.777899052,0.814848034
13067030223,0.78066748,0.691111386,0.796639612,0.801876703
13067030224,0.808916372,0.735168689,0.806292376,0.827494328
13067030226,0.806091989,0.727345679,0.800499284,0.83400063
13067030227,0.678424717,0.68340132,0.71357438,0.621855828
13067030228,0.63363684,0.609226604,0.602627164,0.700253853
13067030229,0.637404606,0.556748598,0.69270458,0.652823355
13067030230,0.683929787,0.575898425,0.718252221,0.734499004
13067030231,0.916727331,0.812718678,0.911791343,0.929423841
13067030232,0.835721744,0.77063492,0.848283071,0.818430589
13067030233,0.906560714,0.84911775,0.89137153,0.8905894
13067030234,0.900654179,0.846198923,0.850552702,0.925819959
13067030235,0.915472275,0.880443705,0.890832188,0.886311322
13067030236,0.951705098,0.909499369,0.862640749,0.994154548
13067030238,0.910618957,0.902905513,0.829583426,0.924768827
13067030239,0.915871136,0.91283763,0.846316225,0.909924496
13067030310,0.728850443,0.675947379,0.714536848,0.769456875
13067030311,0.857107211,0.734554807,0.914183904,0.833841221
13067030312,0.742705959,0.623188397,0.785135273,0.774025132
13067030313,0.793309242,0.670392449,0.841675554,0.803101534
