"","min.Butts","min.Cherokee","min.Clayton","min.Cobb","min.Coweta","min.DeKalb","min.Douglas","min.Fayette","min.Fulton","min.Gwinnett","min.Henry","min.Paulding","min.Rockdale","max.Butts","max.Cherokee","max.Clayton","max.Cobb","max.Coweta","max.DeKalb","max.Douglas","max.Fayette","max.Fulton","max.Gwinnett","max.Henry","max.Paulding","max.Rockdale","mean.Butts","mean.Cherokee","mean.Clayton","mean.Cobb","mean.Coweta","mean.DeKalb","mean.Douglas","mean.Fayette","mean.Fulton","mean.Gwinnett","mean.Henry","mean.Paulding","mean.Rockdale","stdev.Butts","stdev.Cherokee","stdev.Clayton","stdev.Cobb","stdev.Coweta","stdev.DeKalb","stdev.Douglas","stdev.Fayette","stdev.Fulton","stdev.Gwinnett","stdev.Henry","stdev.Paulding","stdev.Rockdale"
"gradrate",79.4,71.7,47.9,56.8,78.2,47.2,62.9,82.5,42.5,52,71.4,67.8,74.5,79.4,90.6,72.3,96.2,86.2,89.2,87.1,94.1,96.2,91.7,91.5,86.9,80.2,79.4,83.4269230769231,61.2530612244898,76.4808333333333,82.13,67.6569444444444,75.785,89.21,74.2727722772277,75.3566371681416,79.452,77.6421052631579,78.24,0,5.66671387612311,7.94331747552663,10.5988210525077,3.169442919671,11.3784709775568,7.85086485346477,4.82001310327985,11.919360113281,11.5418793043467,6.38201378876605,5.34605937838264,2.22447425570307
"ccrpi",70.9,69.3,51.1,55.2,69.6,44.9,66.3,71.9,49.6,60.4,57.5,65.8,61.7,70.9,83.8,65.1,93,78.8,87.1,77.3,92.9,93.4,92.8,81.9,72.6,67.5,70.9,78.8192307692308,58.2142857142857,74.3441666666667,72.305,63.7541666666667,71.005,81.28,68.9638613861386,75.3548672566372,68.484,69.5684210526316,65.4666666666667,0,3.99359679795237,4.37683294936723,10.2683800841136,3.50615623995101,9.1510469804914,3.38533602468056,7.35967676635755,11.2693098377628,8.38315691421157,6.07835504063394,1.9456654478835,2.187518707403
"grade3",35.6,24.2,18.1,21.1,37.5,10.3,29.8,48.2,3.2,26.2,31.9,39.9,32,40.8,82.4,47.3,89.4,64.8,88.3,71.8,81.2,89.7,83.2,57.2,65.7,62,38.2,58.6115384615385,29.9897959183673,53.6097966666667,50.97,36.5736111111111,45.545,64.865,44.5262376237624,52.8274336283186,43.864,50.4421052631579,44.74,2.6,12.2525859123069,7.0746980176412,18.7927792959971,7.74203155712885,22.6650927998085,11.850359754699,10.3514186670742,25.7554525880037,14.528895148902,6.50428576657986,7.17583257186337,8.64008928525295
"grade8",14.8,34,10,15,25.7,3.4,12.9,46.8,6.1,20.3,11.9,22.7,15.3,14.8,60,28.5,74.9,44.5,58.3,44.6,67.7,82.5,77.1,51.1,52.2,38.8,14.8,47.4846153846154,18.569387755102,37.3291666666667,37.155,21.7388888888889,24.15,55.98,32.0673267326733,47.5716814159292,29.068,35.5684210526316,26.2133333333333,0,6.43600449395072,5.49056782437059,18.419711746179,5.05761281321742,14.3176946180724,10.0077601469007,7.451640582343,22.5233813678358,12.2805411484021,10.7437082362966,8.31651988057364,9.21108545384827
"lbw",8.2,4.8,6.1,3.4,4.4,4.3,5.8,4.8,4.1,2.8,3.9,2.8,6.7,12.3,11.4,15.9,12.8,10.1,17.1,13.8,11.6,19.2,12.9,13.6,9.3,13.3,9.83333333333333,7.38076923076923,10.9044653061224,8.21277333333333,7.165,10.0405743055556,9.42,8.00898,10.5928633663366,7.77787610619469,8.796,6.87368421052632,9.88,2.17332310836041,1.48513143681473,2.1039368674732,1.95728994930988,1.616127600486,2.78902376558528,1.86705509743074,1.84486753328482,3.35803324075484,1.64418534502622,2.14931772120054,1.56802852343074,1.77047209200581
"childnohealth",4.9,0.9,1.4,0.4,0.9,0.4,1.5,0.5,0.7,0.5,2.5,3.5,4.1,11.7,31.9,43.8,40.3,13.7,41.3,22.6,16.7,51.7,47.9,19.2,16,24.6,7.23333333333333,8.99826538461538,15.1224489795918,10.9002533333333,7.16473,11.2783152777778,9.415,6.015,9.85884752475248,13.6943238938053,8.74,7.9,11.5533333333333,3.86953916291505,7.31229541148016,9.34151275459268,9.67256231641145,4.07940423373445,8.40433214571088,6.99317524447943,4.52656195781022,7.91192865131513,8.86772112214006,4.74771875044566,4.10744581353316,6.30372527803619
"childpoverty",16.6,0.7,1.9,2.2703,1.6,4.0144,5.1,1.2,1.3007,0.7,3.4,2.5,4.6,29.3,28.5,64.4,63.5,55.7,75.5,39.1,25.5,93.4,64.3,38.3,27.7,48.1,22.6666666666667,13.2307692307692,35.0745306122449,17.9510608333333,17.75,27.6974673611111,21.855,10.806875,30.0424445544554,21.0420920353982,15.488,13.1,20.76,6.36893502348182,8.62094051624388,15.4054368907837,16.5019749631803,14.0415361282911,19.681578781913,10.4076123456267,6.90446255745057,25.8211312137888,15.5938587999075,10.1254349700807,8.22685305029275,12.9092325765045
"povertyrate",20.1,2.7,16.3,2.4,3.8,2.6,8.2,3.4,1.9,1.3,7.5,10.2,14.5,43.4,50,85.1,85,48.9,78.3,51.9,30.8,100,74.4,47.7,42.1,52.9,29.7666666666667,21.1,45.7877551020408,24.7325,23.99,32.8477361111111,30.07,14.645,34.2313712871287,31.4823008849558,24.168,22.9315789473684,31.2333333333333,12.1459183816348,10.3961146588521,14.1787345558566,18.9087555305548,13.1727749544278,19.0580076846688,10.7810310999898,6.41351164175659,26.2277471757714,16.8717072453544,10.4501084523878,7.70642247533971,12.3887429701706
"housingburden",30,19,26.7,13.2,20.1,13.5,25.7,21.9,14.5,18.1,25.1,18.6,28.5,39.6,45.8,61,59.3,45.2,75.8,47.4,35.2,75.8,66,52.3,43.6,49.7,33.2333333333333,32.2384615384615,45.534693877551,33.3983333333333,30.605,41.3333708333333,36.095,29.695,41.5151267326733,38.9185840707965,35.26,30.7473684210526,36.9533333333333,5.51392177432119,5.84944967825705,8.64697806125566,9.62792667134495,6.59381488493892,10.4498011989513,6.38241622288184,3.97670519532518,12.549431746687,9.73592893682767,6.15995129850878,5.75310239214486,7.37223232974989
"momsnohs",16.3,1.4,7.7,1.8932,3.1,0.7568,6.6,1.0559,2.4057,2.2,4.6,2.8,5.9,24.4,19.2,65.6,47.5,27.3,78.7,30.9,20.6,48.6,52.1,33.9,16.3,62.6,19.4666666666667,7.66126153846154,23.3836734693878,10.260925,10.59,15.0184659722222,13.42,7.575175,14.499548019802,15.1250504424779,10.996,8.52631578947368,18.6066666666667,4.32935715012441,5.15193911633877,12.6598832758372,10.2375043086497,6.67240191898098,13.4563434864453,6.20310618285625,4.9242952501241,12.5812672913004,11.4769759775832,6.01764627297639,3.28478683652433,13.5766851975135
